Date,Open,High,Low,Close,Identifier
2004-12-31,2897.85,2941.65,2891.45,2936.9,NIFTY IT
2004-12-30,2939.7,2948.8,2887.0,2896.5,NIFTY IT
2004-12-29,2940.3,2975.5,2926.0,2936.3,NIFTY IT
2004-12-28,2926.0,2945.5,2916.7,2931.7,NIFTY IT
2004-12-27,2935.8,2952.7,2917.6,2924.1,NIFTY IT
2004-12-24,2926.4,2951.6,2900.55,2939.5,NIFTY IT
2004-12-23,2911.6,2951.85,2911.6,2922.0,NIFTY IT
2004-12-22,2963.25,3004.25,2921.7,2941.4,NIFTY IT
2004-12-21,2990.15,3012.65,2979.9,2994.9,NIFTY IT
2004-12-20,2944.55,2992.1,2944.05,2987.0,NIFTY IT
2004-12-17,2984.35,2989.1,2943.75,2952.8,NIFTY IT
2004-12-16,2963.55,2990.8,2949.35,2984.2,NIFTY IT
2004-12-15,2909.7,2978.9,2909.7,2961.4,NIFTY IT
2004-12-14,2879.35,2909.2,2879.35,2906.9,NIFTY IT
2004-12-13,2878.9,2896.5,2878.9,2887.5,NIFTY IT
2004-12-10,2873.8,2898.8,2872.5,2880.5,NIFTY IT
2004-12-09,2865.7,2897.95,2861.6,2871.2,NIFTY IT
2004-12-08,2905.1,2905.1,2860.6,2865.8,NIFTY IT
2004-12-07,2868.8,2928.2,2868.8,2910.0,NIFTY IT
2004-12-06,2921.25,2938.2,2876.25,2888.2,NIFTY IT
2004-12-03,2951.5,2953.75,2904.05,2914.6,NIFTY IT
2004-12-02,2967.15,3007.05,2941.45,2951.0,NIFTY IT
2004-12-01,2997.05,3002.95,2944.55,2961.4,NIFTY IT
2004-11-30,2960.5,3013.8,2960.5,2996.5,NIFTY IT
2004-11-29,2863.55,2960.6,2863.55,2955.9,NIFTY IT
2004-11-25,2843.75,2885.5,2843.75,2879.4,NIFTY IT
2004-11-24,2840.05,2852.8,2834.4,2843.7,NIFTY IT
2004-11-23,2824.85,2862.35,2824.85,2842.7,NIFTY IT
2004-11-22,2836.9,2836.9,2795.5,2823.8,NIFTY IT
2004-11-19,2873.35,2881.8,2841.55,2847.2,NIFTY IT
2004-11-18,2854.85,2879.25,2834.95,2873.6,NIFTY IT
2004-11-17,2827.5,2860.2,2819.0,2856.5,NIFTY IT
2004-11-16,2790.95,2832.95,2790.95,2828.3,NIFTY IT
2004-11-12,2808.95,2811.65,2780.4,2792.5,NIFTY IT
2004-11-11,2798.7,2809.45,2784.25,2789.7,NIFTY IT
2004-11-10,2790.5,2815.45,2779.75,2809.2,NIFTY IT
2004-11-09,2769.15,2802.45,2764.4,2791.8,NIFTY IT
2004-11-08,2772.5,2815.05,2770.55,2773.9,NIFTY IT
2004-11-05,2793.9,2805.85,2733.45,2759.3,NIFTY IT
2004-11-04,2745.3,2786.2,2736.65,2744.5,NIFTY IT
2004-11-03,2673.95,2753.8,2673.95,2737.6,NIFTY IT
2004-11-02,2677.3,2682.6,2656.95,2670.5,NIFTY IT
2004-11-01,2661.3,2689.0,2640.8,2681.4,NIFTY IT
2004-10-29,2706.5,2706.5,2658.1,2667.1,NIFTY IT
2004-10-28,2656.3,2709.05,2656.3,2703.0,NIFTY IT
2004-10-27,2636.3,2651.1,2612.55,2636.3,NIFTY IT
2004-10-26,2588.7,2629.7,2522.65,2622.2,NIFTY IT
2004-10-25,2616.85,2627.65,2583.6,2588.9,NIFTY IT
2004-10-21,2629.1,2638.2,2590.45,2606.9,NIFTY IT
2004-10-20,2652.8,2661.9,2607.9,2618.2,NIFTY IT
2004-10-19,2638.15,2658.65,2627.85,2652.8,NIFTY IT
2004-10-18,2668.8,2677.7,2618.35,2623.3,NIFTY IT
2004-10-15,2709.65,2725.7,2649.65,2659.6,NIFTY IT
2004-10-14,2579.55,2708.75,2579.55,2695.8,NIFTY IT
2004-10-12,2592.5,2619.3,2566.25,2577.0,NIFTY IT
2004-10-11,2604.45,2616.95,2562.85,2570.9,NIFTY IT
2004-10-09,2603.1,2607.2,2591.55,2598.0,NIFTY IT
2004-10-08,2582.3,2608.2,2582.3,2602.9,NIFTY IT
2004-10-07,2557.5,2589.35,2548.35,2580.2,NIFTY IT
2004-10-06,2589.25,2589.25,2541.05,2550.5,NIFTY IT
2004-10-05,2599.35,2609.5,2577.25,2594.5,NIFTY IT
2004-10-04,2543.25,2593.9,2543.25,2587.4,NIFTY IT
2004-10-01,2495.95,2537.7,2495.95,2527.8,NIFTY IT
2004-09-30,2466.85,2502.25,2453.6,2496.2,NIFTY IT
2004-09-29,2410.2,2448.65,2401.85,2445.2,NIFTY IT
2004-09-28,2423.25,2424.65,2396.65,2400.7,NIFTY IT
2004-09-27,2430.75,2439.75,2411.0,2430.5,NIFTY IT
2004-09-24,2448.8,2464.05,2421.35,2429.1,NIFTY IT
2004-09-23,2493.8,2493.8,2447.0,2452.9,NIFTY IT
2004-09-22,2503.6,2516.85,2479.0,2503.6,NIFTY IT
2004-09-21,2447.85,2502.9,2443.55,2498.8,NIFTY IT
2004-09-20,2479.85,2479.85,2441.3,2445.8,NIFTY IT
2004-09-17,2489.5,2493.0,2470.25,2483.4,NIFTY IT
2004-09-16,2470.15,2490.4,2459.7,2487.8,NIFTY IT
2004-09-15,2502.7,2512.2,2470.2,2480.4,NIFTY IT
2004-09-14,2460.85,2506.5,2455.3,2501.7,NIFTY IT
2004-09-13,2442.9,2480.4,2442.9,2459.9,NIFTY IT
2004-09-10,2423.0,2450.7,2415.65,2444.5,NIFTY IT
2004-09-09,2426.25,2432.45,2402.9,2416.2,NIFTY IT
2004-09-08,2426.25,2436.9,2419.4,2426.2,NIFTY IT
2004-09-07,2405.8,2429.35,2398.45,2424.2,NIFTY IT
2004-09-06,2391.65,2413.85,2391.65,2405.6,NIFTY IT
2004-09-03,2374.15,2395.5,2369.0,2390.1,NIFTY IT
2004-09-02,2347.85,2386.55,2347.85,2372.3,NIFTY IT
2004-09-01,2342.7,2352.95,2340.35,2343.9,NIFTY IT
2004-08-31,2340.55,2352.9,2323.25,2340.1,NIFTY IT
2004-08-30,2324.6,2344.15,2317.85,2340.2,NIFTY IT
2004-08-27,2318.55,2322.0,2299.7,2318.2,NIFTY IT
